analysis,created_time,favorite_count,full_text,polarity,retweet_count,tweet_id,user_id,username
positive,2021-04-28 19:59:24,0,Walmart COVID Vaccine Appointments Update netde Centerville Rd Wilmington Moderna Johnson and Johnson Tues Apr 4 Wilton Blvd New Castle Moderna Johnson and Johnson Tues May 4 Middletown Warwick Rd Middletown Moderna Johnson and Johnson Thurs Apr 29 Tues May 4,0.1363636364,0,1387557088956665856,1216531677603860480,CaffeinatedI
positive,2021-05-04 13:18:37,0,Pfizer earned 3 5 billion on COVID vaccine in first quarter technology,0.25,0,1389630556497924104,236449144,Senwoods
positive,2021-05-03 15:22:12,1,COVID 19 vaccine adverse event Reports of fainting and anxiety after J amp J covid vaccine more frequent than after influenza vaccination All recipients to be observed for at least 15 minutes after vaccine administered,0.1,0,1389299269895655433,932539190,bcfielding
neutral,2021-05-01 20:20:33,0,NHS draws up Pfizer Covid vaccine plan for schoolchildren The Times,0.0,0,1388649578237358080,1129062072862437377,GenBioUSA
neutral,2021-05-04 13:19:46,0,Which research Is it ComCoV in UK with Pfizer AZ Moderna Novavax Or different study If later Who is doing Where What vaccines age groups involved COVID19SL Cocktail of COVID vaccine a possibility based on results of research Sudarshani,0.0,0,1389630845875494913,1574663774,CRdelaharpe
neutral,2021-04-30 11:17:33,10,BREAKING Nigeria Approves Pfizer Covid Vaccine via,0.0,7,1388150538269708288,91316071,NigeriaNewsdesk
positive,2021-05-04 15:28:03,0,Pfizer expects to file for full FDA approval of its COVID vaccine in May,0.35,0,1389663131765465093,14617026,WRDW_WAGT
positive,2021-05-04 13:29:43,6,The U S government gave 1 95 Billion to develop the covid vaccine Pfizer projects 15B in earnings from it in 2021 Our economic system is a goddamned relic just like mercantilism or slavery It s time for somebody to come up with a new one,0.1681818182,7,1389633349136703489,827934520112472065,BoycottUtah
negative,2021-04-29 17:25:16,0,Oral Covid Vaccine Comedy pfizer vaccine covid jokes BrandonsMorningJoke hypocondriac Next Show Venue The CornerHouse 116 Douglas Rd Surbiton KT6 7SB Date 22nd Of May 2021 Time 8pm SEATING IS LIMITED Please Email wholelottacomedy com,-0.0357142857,0,1387880690654527493,212254157,DaBrandonPalmer
positive,2021-04-29 17:14:30,330,Cuba is racing towards potentially becoming the first country in Latin America to develop its own COVID vaccine Two of its five experimental shots have reached final stage trials,0.28,94,1387877979557146626,4970411,AJEnglish
positive,2021-04-28 16:47:55,1,Are you pregnant and not sure if you should get the COVID 19 vaccine Dr Patrice Harold a OB GYN from DMC Hutzel Women s Hospital discuss the safety of the COVID vaccine for pregnant women with Listen to the full interview here,0.1916666667,1,1387508900790996998,16927822,DMC_Heals
neutral,2021-05-04 16:26:34,0,Holding in GERM Beats Earnings Forecast Sees 26 Billion In COVID Vaccine Sales,0.0,0,1389677854061891592,3246617671,ETFMG
neutral,2021-05-04 14:13:56,0,Pfizer expects Covid vaccine demand for years,0.0,0,1389644477619441671,4202526155,kenyan_digest
positive,2021-04-30 15:54:57,0,Most importantly I d like to add DON T BELIEVE ANYTHING THIS LYING POS SAYS As an autism researcher I ve dealt with anti vax misinformation for years Here s how we can combat it during the COVID vaccine rollout via,0.45,0,1388220348437565447,852983071863316480,julie07217
positive,2021-04-28 13:09:06,0,This article is a fabulous description of how Pfizer makes its mRNA Covid vaccine,0.4,0,1387453836059725834,26303613,lfc71
positive,2021-05-03 19:15:00,5,COVID VACCINE FOR TEENS The U S Food and Drug Administration is expected to authorize Pfizer s COVID 19 vaccine for young adults age 12 and older by next week setting up shots for many before the beginning of the next school year,0.1111111111,0,1389357855338344455,16568530,KTVN
positive,2021-05-03 13:31:19,2,Clackamas County Public Health and OCHS will host a drive through Covid vaccine Pfizer clinic for anyone 16 years and older Look for an email to be sent to early next week Dates May 13 1st dose and June 3 2nd dose Clinic Hours 12 30 pm 8 30 pm,0.0533333333,2,1389271364897447939,1732420645,ochspioneers
negative,2021-05-04 15:01:36,1,Covid vaccines Biden sets goal of administering at least one Covid 19 vaccine shot to 70 of US adult population by July 4,-0.1,2,1389656471982411777,15856435,MSN
positive,2021-05-02 07:21:00,2,I ve had 2 shots of PFIZER covid vaccine 1st dose Really sore arm for 2 days nothing else 2nd dose Slightly sore arm for 1 day The day after massive headache all day whole body aches like someone took a metal bat to all my joints Today day 2,0.0466666667,0,1388815783778820097,1156934893764587520,ShellLouise2006
neutral,2021-04-28 12:19:34,144,The Government has ordered an extra 60 million doses of the Pfizer BioNTech Covid vaccine to facilitate a vaccination booster programme in the autumn Tell me again that the Tories don t care about saving lives,0.0,20,1387441370332282884,856405845957062656,SamanthaTaghoy
negative,2021-05-01 19:22:40,0,A Nashville woman is in a hospital bed and unable to walk after receiving her second Pfizer Covid shot on April 16 Brandy Parker McFadden said mere hours after her second dose of the Covid vaccine an unusual sensation began in her legs,-0.16,0,1388635010442407939,36295726,canfixstoopid
neutral,2021-04-28 19:06:29,5,My job is giving us 400 if we get the Covid vaccine Yea Moderna me please,0.0,0,1387543771500404743,53092838,SincerelyRenica
positive,2021-05-01 13:31:10,7,Children As Young As 6 Months Taking Part In Covid Vaccine Trials Only four countries in the world allow Pfizer to experiment on six month old babies One of these countries is Poland PM Morawiecki the biggest traitor,0.0666666667,4,1388546551975403522,1303062646766415875,Nattat350
