analysis,created_time,favorite_count,full_text,polarity,retweet_count,tweet_id,user_id,username,clean_text
positive,2021-04-29 16:35:04,7,Oh hey Guess who just got her second Moderna vaccine THIS GIRL Feels great to know that in 2 weeks we can hug my mother in law,0.4,0,1387868053732421632,282773088,jenninewbaker40,Oh hey Guess got second Moderna vaccine THIS GIRL Feels great know 2 weeks hug mother law
neutral,2021-05-01 04:39:59,0,WHO adds Moderna COVID 19 vaccine to emergency use list Health news explore follow 513,0.0,0,1388412874285064193,236770150,poandpo,WHO adds Moderna COVID 19 vaccine emergency use list Health news explore follow 513
positive,2021-05-01 23:20:29,3,sure nothing to hide am liv n in Canada Speak English Hindi Marathi Kannada languages Understand bit of French hubby is good he learnt Vaccines in Canada Moderna Pfizer AstraZeneca AZ Janssen Canada offers free vaccn for visitors AZ is no no,0.2833333333,0,1388694858341175296,1217586499958530059,SireenBorotikar,sure nothing hide liv n Canada Speak English Hindi Marathi Kannada languages Understand bit French hubby good learnt Vaccines Canada Moderna Pfizer AstraZeneca AZ Janssen Canada offers free vaccn visitors AZ
neutral,2021-04-30 12:26:28,1,Have you gotten the your COVIDVaccine The Columbus GA Chamber is offering the Moderna Vaccine on Monday May 3 NO APPOINTMENT NEEDED,0.0,1,1388167880966029316,2739845825,ladybonedoc,Have gotten COVIDVaccine The Columbus GA Chamber offering Moderna Vaccine Monday May 3 NO APPOINTMENT NEEDED
positive,2021-04-28 19:59:24,0,Walmart COVID Vaccine Appointments Update netde Centerville Rd Wilmington Moderna Johnson and Johnson Tues Apr 4 Wilton Blvd New Castle Moderna Johnson and Johnson Tues May 4 Middletown Warwick Rd Middletown Moderna Johnson and Johnson Thurs Apr 29 Tues May 4,0.13636363640000002,0,1387557088956665856,1216531677603860480,CaffeinatedI,Walmart COVID Vaccine Appointments Update netde Centerville Rd Wilmington Moderna Johnson Johnson Tues Apr 4 Wilton Blvd New Castle Moderna Johnson Johnson Tues May 4 Middletown Warwick Rd Middletown Moderna Johnson Johnson Thurs Apr 29 Tues May 4
neutral,2021-05-01 12:19:33,0,WHO gives emergency use listing to Moderna s COVID 19 vaccine,0.0,0,1388528527713005571,40264180,BurnsLakeNews,WHO gives emergency use listing Moderna COVID 19 vaccine
positive,2021-04-30 11:15:03,0,So important that we will have contingency supplies of COVID19 vaccines for a longer term great that Moderna is dosing up its output Ensures that we always have an arsenal against this disease,0.6,0,1388149910768336901,35869296,chipkahn,So important contingency supplies COVID19 vaccines longer term great Moderna dosing output Ensures always arsenal disease
negative,2021-04-28 19:35:38,1,I got the Moderna vaccine back in February and all I got was protection from COVID I got the boring doses of the vaccine I guess everyone else got cool side effects still hoping something happens soon,-0.2166666667,0,1387551108713824262,237053752,Laurajoan74,I got Moderna vaccine back February I got protection COVID I got boring doses vaccine I guess everyone else got cool side effects still hoping something happens soon
positive,2021-05-02 13:22:16,2,Rox Pence Biden had a lot to do with the distribution of the vaccines Trump s Warp Speed had a lot to do with development of Moderna vaccine nothing to do with development of Pfizer first vaccine Pfizer was helped by Germany and the EU Credit given to all,0.25,0,1388906701701586951,546846908,dan95050,Rox Pence Biden lot distribution vaccines Trump Warp Speed lot development Moderna vaccine nothing development Pfizer first vaccine Pfizer helped Germany EU Credit given
positive,2021-04-30 14:30:56,0,Vaccine appointments are available at Walgreens Duane Reade Moderna 1091 Lexington Avenue Manhattan NY 10075 800 925 4733,0.4,0,1388199203302694919,1375448650365739010,nyc_vaccine,Vaccine appointments available Walgreens Duane Reade Moderna 1091 Lexington Avenue Manhattan NY 10075 800 925 4733
